course_code,title,department,course_number,description,credits,prerequisites_raw,catalog_year,calendar_system,source_url,scraped_at,has_description,has_title,recommendable
CS150,Computer Science Principles,CS,150,"An introduction to computer science principles: the big ideas and computational thinking practices central to computer science, and the societal impact of computing and information technology. Exposure to algorithms, big data, machine learning, privacy, security and digital citizenship while introducing and reinforcing the importance of programming.",3.0,,2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131066+00:00,True,True,True
CS164,Introduction to Computer Science,CS,164,"An introduction to the field of computer science. Exposure to core areas (selected from algorithms, artificial intelligence, computer architecture, databases, graphics, human-computer interaction, programming languages, scientific computation, software engineering) while introducing and reinforcing the importance of programming.",3.0,,2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131108+00:00,True,True,True
CS171,Computer Programming I,CS,171,"Introduces fundamental concepts of computing including memory, instructions, function calls, and activation records. Covers fundamentals of structured computer programming in the language of instruction: variables, input and output, expressions, assignment statements, conditionals and branching, subprograms, parameter passing, repetition, arrays, top-down design, testing, and debugging.",3.0,,2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131135+00:00,True,True,True
CS172,Computer Programming II,CS,172,"Covers object-oriented design, inheritance hierarchies, information hiding principles, string processing, recursion, good programming style, documentation, debugging, and testing.",3.0,CS 171 [Min Grade: C] or CS 175 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131164+00:00,True,True,True
CS175,Advanced Computer Programming I,CS,175,"Advanced programming in language of instruction at an accelerated pace: introduces fundamental concepts of computing including memory, instructions, function calls, and activation records. Covers fundamentals of structured computer programming in the language of instruction: conditionals and branching, subprograms, parameter passing, repetition, arrays, top-down design, testing, and debugging. Supplements basic topics with deeper presentation of advanced techniques for those with some incoming programming experience.",3.0,,2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131186+00:00,True,True,True
CS180,Introduction to Artificial Intelligence & Machine Learning,CS,180,"This introductory course provides a broad exploration of artificial intelligence (AI) and machine learning (ML), focusing on fundamental concepts, real-world applications, and emerging trends. Students will learn about the history of AI, problem-solving strategies, search algorithms, adversarial agents, classification and clustering techniques, neural networks and deep learning, reinforcement learning, generative AI, large language models, and AI in games. Ethical considerations, societal impacts, and the future of AI will also be discussed. No prior programming experience is required.",3.0,,2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131209+00:00,True,True,True
CS190,Selected Computer Language,CS,190,"Focuses on programming in a selected language of interest. Course content, language, and prerequisites may vary according to instructor, with emphasis on applications for which the language is designed. May be repeated for credit.",3.0,,2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131233+00:00,True,True,True
CS260,Data Structures,CS,260,"Data structures form the basis for the programmer's toolbox. Students will become familiar with the basic data structures and learn to modify or create on their own. Additionally, they will learn several algorithms that use these data structures in solving common problems such as searching and sorting, that involve sequentially, pairwise, or hierarchically related data. Further, students will learn data abstraction, how to separate interface from implementation, and viewing a problem simply in terms of functional requirements and dependencies. Throughout the course, students will develop abstract thinking and problem-solving skills.",4.0,CS 265 [Min Grade: C],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131259+00:00,True,True,True
CS265,Advanced Programming Tools and Techniques,CS,265,"Introduction to the basic principles of programming practice: testing, debugging, portability, performance, design alternatives, and style. Application in a variety of programming languages, programming environments, and operating systems. Introduction to tools used in the software development process for improving program functionality, performance, and robustness.",3.0,CS 172 [Min Grade: C] or ECE 105 [Min Grade: D] or ECEC 201 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131284+00:00,True,True,True
CS270,Mathematical Foundations of Computer Science,CS,270,"Introduces formal logic and its connections to Computer Science. Students learn to translate statements about the behavior of computer programs into logical claims and to prove such assertions using both traditional techniques and automated tools. Considers approaches to proving termination, correctness, and safety for programs. Discusses propositional and predicate logic, logical inference, recursion and recursively defined sets, mathematical induction, and structural induction.",3.0,CS 172 [Min Grade: C] or CS 265 [Min Grade: C] or ECE 105 [Min Grade: D] or ECEC 201 [Min Grade: D],2026-2027,quarter,https://catalog.drexel.edu/coursedescriptions/quarter/undergrad/cs/,2026-09-19T10:53:05.131308+00:00,True,True,True
